maxord,nonlin_conv_coef,max_conv_fails,fixedpointvecs,eta_cf,eta_max_fx,eta_min_fx,eta_max_gs,eta_min,eta_min_ef,runtime
3,0.665157,32,18,0.379665,12.347162,4.637657,1.824246,0.832297,0.632342,286.928885
4,0.426137,48,7,0.183806,17.588406,13.723119,1.696816,0.246734,0.452526,283.295053
2,0.231223,40,2,0.139541,18.217866,15.175705,0.083632,0.018659,0.710821,271.254122
1,0.414592,45,17,0.433433,9.092225,0.748086,16.727866,0.062138,0.027212,274.425369
3,0.420264,30,11,0.830896,9.861594,7.809424,13.671176,0.035328,0.076449,266.264847
4,0.573523,24,5,0.306413,8.190679,6.273956,15.726146,0.483256,0.22232,274.759343
2,0.190122,13,2,0.417765,11.582262,3.749017,6.395287,0.232496,0.110874,282.01018
4,0.759038,31,12,0.037352,19.047289,0.081271,2.631663,0.930792,0.567492,279.857787
2,0.365594,25,11,0.003761,17.250558,16.96021,6.853187,0.514204,0.614483,283.870694
3,0.110158,34,5,0.0118,5.233543,4.978535,11.659544,0.378364,0.379624,269.016155
4,0.003114,10,19,0.66232,17.042628,9.062352,3.189947,0.423333,0.219054,275.977373
1,0.871761,24,17,0.68356,2.965982,2.56074,9.647861,0.594929,0.779232,291.3852
3,0.522486,42,19,0.405831,15.51398,14.767239,6.288448,0.04042,0.555811,282.587047
2,0.243073,49,18,0.355701,13.091819,12.790213,11.784691,0.389649,0.694086,279.191812
3,0.314844,8,6,0.414666,14.464581,0.696483,19.114659,0.574162,0.680366,327.543316
4,0.283243,22,1,0.465837,14.168151,0.831134,6.003352,0.344158,0.740373,100000000.0
5,0.092927,46,15,0.632825,7.740025,2.486597,6.158854,0.535185,0.401746,287.917905
2,0.530895,50,9,0.523635,16.021527,3.146461,12.229345,0.501395,0.025708,281.990319
4,0.361105,27,18,0.062939,3.760323,0.166115,11.844941,0.457471,0.76859,301.912236
3,0.119821,4,14,0.055536,14.250118,11.921057,17.583776,0.397961,0.492603,274.32293
4,0.343177,46,11,0.447066,19.187476,15.611508,5.595714,0.302005,0.446838,279.839836
2,0.018479,34,3,0.649725,18.70528,18.477885,7.277698,0.948188,0.038821,293.264447
3,0.41182,15,19,0.323841,4.440283,2.432059,4.275855,0.442907,0.750028,286.782065
5,0.802538,33,10,0.150929,13.225457,1.99505,14.911379,0.355992,0.17403,252.748284
5,0.385026,35,3,0.851895,14.704682,11.544121,13.259842,0.746646,0.308356,269.914343
2,0.160292,4,10,0.736883,13.669941,2.221863,13.236042,0.765466,0.363145,238.425092
3,0.534904,14,7,0.370367,11.181061,2.400364,1.274434,0.388493,0.622755,282.131815
3,0.363944,6,4,0.176193,7.390647,7.362279,5.761109,0.135211,0.447367,283.396078
1,0.073645,13,5,0.359447,19.654774,16.415562,5.615048,0.876284,0.202142,268.183379
4,0.708511,7,7,0.235921,16.745389,6.830373,14.959719,0.113126,0.016844,264.936905
5,0.457291,27,3,0.441509,12.958213,6.380873,1.18976,0.966591,0.17699,280.504018
3,0.858409,42,11,0.0594,14.874961,7.255096,8.687917,0.54294,0.47453,273.195789
1,0.187969,12,14,0.622275,11.390462,7.671206,9.383453,0.842425,0.58652,256.744897
1,0.425568,29,2,0.846532,4.516251,3.004434,18.479853,0.233256,0.231492,265.655273
2,0.803635,23,19,0.592204,4.303353,0.767408,7.861677,0.684789,0.394925,286.98038
2,0.569166,9,16,0.490365,16.95176,2.574351,12.000502,0.449365,0.820955,287.469338
4,0.162438,39,5,0.755621,17.263754,3.793254,1.608595,0.065045,0.749551,295.952886
